date_raw,date_formatted,complaints,education,notices,education_notices,charges,individual_cost,cost_total,legislation,violation,violation_recoded,city,province,ranking
"August 10-16, 2020","Aug 10-16, 2020",,,,4,5,,,,unspecified,,manitoba,manitoba,13
"August 4-9, 2020","Aug 4-9, 2020",,,,2,0,,,,unspecified,,manitoba,manitoba,12
"July 27-August 3, 2020","Jul 27-Aug 3, 2020",,,,2,3,,,,unspecified,,manitoba,manitoba,11
"July 20-26, 2020","Jul 20-26, 2020",,,,1,4,,,,unspecified,,manitoba,manitoba,10
"July 13-19, 2020","Jul 13-19, 2020",,,,0,0,,,,unspecified,,manitoba,manitoba,9
"July 6-12, 2020","Jul 6-12, 2020",,,,3,4,,,,unspecified,,manitoba,manitoba,8
"June 29-July 5, 2020","Jun 29-Jul 5, 2020",,,,3,6,,,,unspecified,,manitoba,manitoba,7
"June 22-28, 2020","Jun 22-28, 2020",,,,0,5,,,,unspecified,,manitoba,manitoba,6
"June 15-21, 2020","Jun 15-21, 2020",,,,1,0,,,,unspecified,,manitoba,manitoba,5
"June 8-14, 2020","Jun 8-14, 2020",,,,4,6,,,,unspecified,,manitoba,manitoba,4
"June 1-7, 2020","Jun 1-7, 2020",,,,4,6,,,,unspecified,,manitoba,manitoba,3
"May 25-31, 2020","May 25-31, 2020",,,,8,5,,,,unspecified,,manitoba,manitoba,2
"May 18-24, 2020","May 18-24, 2020",,,,10,11,,,,unspecified,,manitoba,manitoba,1
"November 30-December 6, 2020","Nov 30-Dec 6, 2020",,,,,8,448,,,band bylaw,,manitoba,manitoba,29
"November 23-29, 2020","Nov 23-29, 2020",,,,,7,448,,,band bylaw,,manitoba,manitoba,28
"March, 2021","March, 2021",,,,,320,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"February, 2021","February, 2021",,,,,57,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"January, 2021","January, 2021",,,,,188,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"December, 2020","December, 2020",,,,,17,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"November, 2020","November, 2020",,,,,45,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
